"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","label"
"1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0.090910","0.363637","0.363637","0.181819","0.300000","0.100000","0.100000","0.400000","0.200000","0.300000","0.200000","0.400000","0.200000","0.400000","0.100000","0.100000","0.100000","0.300000","0.400000","0.400000","0.000000","0.111112","0.000000","0.222223","0.111112","0.000000","0.000000","0.000000","0.000000","0.111112","0.000000","0.000000","0.000000","0.000000","0.222223","0.222223","0.111112","0.000000","0.111112","0.000000","0.000000","0.000000","0.111112","0.222223","0.111112","0.000000","0.111112","0.000000","0.111112","0.111112","0.111112","0.111112","0.111112","0.000000","0.000000","0.111112","0.111112","0.000000","0.111112","0.222223","0.000000","0.111112","0.000000","0.000000","0.000000","0.111112","0.000000","0.000000","0.111112","0.000000","0.000000","0.000000","0.000000","0.333334","0.000000","0.000000","0.111112","0.222223","0.000000","0.111112","0.000000","0.111112","0.111112","0.111112","0.0345558","-0.0345558","-0.1036674","-0.0345558","-0.1036674","0.0345558","0.0345558","0.1036674","0.1036674","0.1036674","0.1036674","-0.1036674","-0.1036674","-0.0345558","0.1036674","-0.1036674","0.1563089","0.1994180","0.1130315","0.1619331","0.1989263","0.1703822","1"
"0","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0.454546","0.181819","0.000000","0.363637","0.500000","0.300000","0.400000","0.300000","0.100000","0.100000","0.400000","0.100000","0.700000","0.200000","0.100000","0.000000","0.200000","0.100000","0.100000","0.400000","0.000000","0.222223","0.222223","0.111112","0.111112","0.111112","0.000000","0.111112","0.333334","0.111112","0.000000","0.000000","0.111112","0.000000","0.111112","0.111112","0.000000","0.000000","0.000000","0.111112","0.000000","0.000000","0.111112","0.000000","0.333334","0.000000","0.111112","0.000000","0.000000","0.000000","0.000000","0.111112","0.444445","0.000000","0.222223","0.111112","0.000000","0.000000","0.111112","0.000000","0.111112","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.111112","0.111112","0.000000","0.000000","0.000000","0.000000","0.111112","0.000000","0.000000","0.111112","0.000000","0.000000","0.111112","0.111112","0.000000","0.222223","0.1346993","-0.0808196","-0.0269399","0.2424587","0.0269399","-0.0808196","-0.0808196","-0.0269399","0.0269399","-0.0808196","0.0808196","-0.1346993","0.0808196","0.0808196","-0.0808196","-0.0808196","0.1389734","0.1775997","0.1595888","0.1807418","0.1690745","0.1740217","1"
"0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","1","0.181819","0.181819","0.181819","0.454546","0.100000","0.400000","0.200000","0.000000","0.200000","0.000000","0.200000","0.400000","0.500000","0.300000","0.700000","0.100000","0.000000","0.100000","0.400000","0.400000","0.000000","0.111112","0.000000","0.000000","0.000000","0.000000","0.000000","0.444445","0.000000","0.000000","0.222223","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.111112","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.222223","0.000000","0.000000","0.000000","0.111112","0.333334","0.111112","0.222223","0.222223","0.000000","0.222223","0.000000","0.111112","0.000000","0.555556","0.000000","0.111112","0.111112","0.000000","0.000000","0.000000","0.111112","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.111112","0.000000","0.000000","0.333334","0.111112","0.000000","0.000000","0.111112","0.333334","0.000000","-0.0639716","-0.0213239","-0.1066193","0.1066193","0.0639716","-0.1066193","-0.0639716","0.0213239","-0.1066193","0.0639716","0.0639716","-0.0639716","-0.0213239","-0.0213239","0.0639716","0.1919148","0.1184734","0.2229037","0.1971171","0.1527287","0.1474818","0.1612954","1"
"0","0","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0.272728","0.181819","0.454546","0.090910","0.100000","0.300000","0.300000","0.300000","0.200000","0.200000","0.000000","0.500000","0.500000","0.100000","0.100000","0.000000","0.200000","0.400000","0.200000","0.600000","0.000000","0.000000","0.000000","0.111112","0.111112","0.222223","0.000000","0.000000","0.222223","0.111112","0.000000","0.000000","0.000000","0.222223","0.000000","0.111112","0.000000","0.111112","0.000000","0.111112","0.000000","0.000000","0.000000","0.222223","0.000000","0.000000","0.000000","0.000000","0.000000","0.222223","0.000000","0.333334","0.111112","0.222223","0.222223","0.000000","0.000000","0.000000","0.000000","0.111112","0.111112","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.111112","0.111112","0.111112","0.000000","0.000000","0.222223","0.111112","0.000000","0.111112","0.000000","0.222223","0.000000","0.222223","0.222223","-0.0786683","-0.0262228","-0.0262228","0.1311138","0.0262228","-0.0262228","0.0786683","-0.0786683","0.0262228","0.1311138","0.1835593","-0.1311138","0.0262228","-0.1311138","-0.0262228","-0.0786683","0.0904328","0.1585424","0.2064377","0.2110173","0.1650546","0.1685152","1"
"0","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0.363637","0.272728","0.272728","0.090910","0.600000","0.400000","0.200000","0.100000","0.200000","0.300000","0.300000","0.300000","0.300000","0.200000","0.000000","0.100000","0.300000","0.100000","0.100000","0.500000","0.111112","0.333334","0.111112","0.111112","0.000000","0.111112","0.333334","0.000000","0.111112","0.000000","0.000000","0.111112","0.000000","0.000000","0.000000","0.111112","0.111112","0.000000","0.000000","0.000000","0.000000","0.111112","0.000000","0.222223","0.111112","0.222223","0.000000","0.000000","0.000000","0.000000","0.000000","0.333334","0.222223","0.111112","0.000000","0.000000","0.222223","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.111112","0.000000","0.000000","0.000000","0.222223","0.000000","0.111112","0.000000","0.000000","0.111112","0.000000","0.000000","0.111112","0.000000","0.000000","0.000000","0.222223","0.111112","0.111112","0.111112","0.2097600","-0.0299657","0.0299657","0.0299657","0.0898972","0.0299657","-0.0898972","-0.0299657","-0.0898972","0.0299657","0.1498286","-0.0898972","-0.0299657","0.0299657","-0.0898972","-0.1498286","0.1322636","0.2024388","0.2003069","0.1448414","0.1390196","0.1811296","1"
"0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0.181819","0.636364","0.181819","0.000000","0.200000","0.600000","0.200000","0.100000","0.500000","0.400000","0.100000","0.500000","0.200000","0.100000","0.000000","0.100000","0.200000","0.300000","0.200000","0.300000","0.000000","0.111112","0.000000","0.111112","0.111112","0.333334","0.111112","0.111112","0.111112","0.000000","0.000000","0.000000","0.000000","0.111112","0.000000","0.000000","0.222223","0.333334","0.000000","0.000000","0.000000","0.111112","0.000000","0.333334","0.000000","0.000000","0.000000","0.111112","0.111112","0.222223","0.000000","0.222223","0.000000","0.111112","0.111112","0.000000","0.111112","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.111112","0.000000","0.000000","0.111112","0.111112","0.000000","0.222223","0.000000","0.000000","0.111112","0.111112","0.111112","0.000000","0.000000","0.111112","0.000000","0.111112","0.111112","-0.0295829","0.1479144","-0.0295829","-0.0295829","0.2070801","0.0887486","0.0295829","-0.0887486","-0.0887486","0.1479144","0.0295829","-0.0887486","-0.0295829","-0.0887486","-0.0295829","-0.1479144","0.1206113","0.1529831","0.2166726","0.1947913","0.1572931","0.1576486","1"
"0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0.000000","0.363637","0.363637","0.272728","0.400000","0.100000","0.000000","0.600000","0.200000","0.400000","0.300000","0.100000","0.300000","0.100000","0.100000","0.100000","0.200000","0.500000","0.200000","0.400000","0.111112","0.111112","0.000000","0.222223","0.000000","0.000000","0.000000","0.111112","0.000000","0.000000","0.000000","0.000000","0.222223","0.111112","0.222223","0.111112","0.111112","0.000000","0.000000","0.111112","0.222223","0.000000","0.222223","0.000000","0.111112","0.000000","0.111112","0.111112","0.000000","0.111112","0.000000","0.000000","0.222223","0.000000","0.000000","0.111112","0.000000","0.111112","0.000000","0.000000","0.000000","0.111112","0.000000","0.000000","0.000000","0.000000","0.000000","0.111112","0.000000","0.000000","0.000000","0.222223","0.000000","0.333334","0.111112","0.000000","0.222223","0.000000","0.000000","0.000000","0.000000","0.222223","0.000000","0.222223","0.0830006","-0.0276669","-0.0276669","0.0276669","-0.0830006","0.0830006","0.1383343","-0.0830006","0.1936680","-0.0830006","0.0830006","-0.0830006","-0.1383343","0.0276669","-0.0276669","-0.0830006","0.1423512","0.1720717","0.1741856","0.1393127","0.1690662","0.2030127","1"
"0","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0.090910","0.545455","0.181819","0.181819","0.100000","0.200000","0.300000","0.200000","0.200000","0.400000","0.500000","0.400000","0.300000","0.600000","0.000000","0.000000","0.200000","0.300000","0.100000","0.200000","0.000000","0.111112","0.000000","0.000000","0.000000","0.000000","0.222223","0.000000","0.111112","0.222223","0.000000","0.000000","0.000000","0.111112","0.000000","0.111112","0.000000","0.000000","0.111112","0.111112","0.111112","0.000000","0.111112","0.222223","0.222223","0.333334","0.000000","0.000000","0.111112","0.111112","0.111112","0.111112","0.111112","0.111112","0.000000","0.111112","0.111112","0.222223","0.222223","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.222223","0.000000","0.000000","0.222223","0.000000","0.111112","0.000000","0.111112","0.000000","0.000000","0.111112","0.111112","0.000000","0.000000","-0.1180957","-0.0393652","-0.0393652","0.0393652","-0.0393652","0.1180957","0.0393652","0.2755566","-0.0393652","0.1180957","-0.0393652","-0.1968261","0.0393652","0.1968261","-0.1180957","-0.1968261","0.1721935","0.1954468","0.1379045","0.1498739","0.1925612","0.1520200","1"
"0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","0","0.090910","0.272728","0.454546","0.181819","0.100000","0.000000","0.400000","0.100000","0.000000","0.400000","0.200000","0.500000","0.100000","0.300000","0.200000","0.300000","0.500000","0.400000","0.100000","0.400000","0.000000","0.000000","0.111112","0.000000","0.000000","0.000000","0.000000","0.000000","0.111112","0.222223","0.111112","0.000000","0.000000","0.111112","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.222223","0.000000","0.222223","0.000000","0.111112","0.111112","0.000000","0.222223","0.000000","0.111112","0.222223","0.000000","0.000000","0.111112","0.000000","0.000000","0.111112","0.111112","0.111112","0.000000","0.000000","0.000000","0.222223","0.111112","0.111112","0.000000","0.111112","0.111112","0.000000","0.222223","0.111112","0.000000","0.111112","0.111112","0.222223","0.000000","0.000000","0.000000","0.111112","0.222223","0.111112","0.000000","0.111112","-0.0953771","-0.1589618","0.1589618","-0.0953771","-0.1589618","0.0953771","0.0953771","0.0317924","-0.0953771","0.1589618","0.0953771","0.0317924","0.0953771","-0.0317924","-0.0953771","-0.0317924","0.1595519","0.1399522","0.1697244","0.1980837","0.1499340","0.1827537","1"
"1","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0.636364","0.090910","0.181819","0.090910","0.700000","0.300000","0.200000","0.300000","0.100000","0.100000","0.200000","0.400000","0.400000","0.200000","0.200000","0.000000","0.300000","0.200000","0.200000","0.200000","0.222223","0.111112","0.222223","0.111112","0.000000","0.000000","0.000000","0.333334","0.000000","0.111112","0.111112","0.000000","0.111112","0.111112","0.000000","0.111112","0.000000","0.111112","0.000000","0.000000","0.000000","0.000000","0.111112","0.000000","0.222223","0.000000","0.000000","0.000000","0.111112","0.111112","0.222223","0.000000","0.111112","0.111112","0.000000","0.222223","0.000000","0.000000","0.111112","0.111112","0.111112","0.000000","0.111112","0.000000","0.000000","0.000000","0.000000","0.000000","0.333334","0.000000","0.000000","0.000000","0.111112","0.111112","0.000000","0.000000","0.111112","0.111112","0.000000","0.000000","0.111112","0.000000","0.000000","0.111112","0.2340533","-0.0780178","0.0260059","0.0780178","0.0260059","-0.0780178","-0.0260059","-0.0260059","0.0260059","0.0780178","-0.0260059","-0.1300296","-0.0260059","-0.0260059","-0.0260059","-0.0260059","0.1409388","0.1838124","0.1525827","0.1694428","0.1776139","0.1756095","1"
