@relation writemodel

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 numeric
@attribute 49 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 52 numeric
@attribute 53 numeric
@attribute 54 numeric
@attribute 55 numeric
@attribute 56 numeric
@attribute 57 numeric
@attribute 58 numeric
@attribute 59 numeric
@attribute 60 numeric
@attribute 61 numeric
@attribute 62 numeric
@attribute 63 numeric
@attribute 64 numeric
@attribute 65 numeric
@attribute 66 numeric
@attribute 67 numeric
@attribute 68 numeric
@attribute 69 numeric
@attribute 70 numeric
@attribute 71 numeric
@attribute 72 numeric
@attribute 73 numeric
@attribute 74 numeric
@attribute 75 numeric
@attribute 76 numeric
@attribute 77 numeric
@attribute 78 numeric
@attribute 79 numeric
@attribute 80 numeric
@attribute 81 numeric
@attribute 82 numeric
@attribute 83 numeric
@attribute 84 numeric
@attribute 85 numeric
@attribute 86 numeric
@attribute 87 numeric
@attribute 88 numeric
@attribute 89 numeric
@attribute 90 numeric
@attribute 91 numeric
@attribute 92 numeric
@attribute 93 numeric
@attribute 94 numeric
@attribute 95 numeric
@attribute 96 numeric
@attribute 97 numeric
@attribute 98 numeric
@attribute 99 numeric
@attribute 100 numeric
@attribute 101 numeric
@attribute 102 numeric
@attribute 103 numeric
@attribute 104 numeric
@attribute 105 numeric
@attribute 106 numeric
@attribute 107 numeric
@attribute 108 numeric
@attribute 109 numeric
@attribute 110 numeric
@attribute 111 numeric
@attribute 112 numeric
@attribute 113 numeric
@attribute 114 numeric
@attribute 115 numeric
@attribute 116 numeric
@attribute 117 numeric
@attribute 118 numeric
@attribute 119 numeric
@attribute 120 numeric
@attribute 121 numeric
@attribute 122 numeric
@attribute 123 numeric
@attribute 124 numeric
@attribute 125 numeric
@attribute 126 numeric
@attribute 127 numeric
@attribute 128 numeric
@attribute 129 numeric
@attribute 130 numeric
@attribute 131 numeric
@attribute 132 numeric
@attribute 133 numeric
@attribute 134 numeric
@attribute 135 numeric
@attribute 136 numeric
@attribute 137 numeric
@attribute 138 numeric
@attribute 139 numeric
@attribute 140 numeric
@attribute 141 numeric
@attribute 142 numeric
@attribute 143 numeric
@attribute 144 numeric
@attribute 145 numeric
@attribute 146 numeric
@attribute 147 numeric
@attribute 148 numeric
@attribute 149 numeric
@attribute 150 numeric
@attribute label {1,0}

@data
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.09091,0.363637,0.363637,0.181819,0.3,0.1,0.1,0.4,0.2,0.3,0.2,0.4,0.2,0.4,0.1,0.1,0.1,0.3,0.4,0.4,0,0.111112,0,0.222223,0.111112,0,0,0,0,0.111112,0,0,0,0,0.222223,0.222223,0.111112,0,0.111112,0,0,0,0.111112,0.222223,0.111112,0,0.111112,0,0.111112,0.111112,0.111112,0.111112,0.111112,0,0,0.111112,0.111112,0,0.111112,0.222223,0,0.111112,0,0,0,0.111112,0,0,0.111112,0,0,0,0,0.333334,0,0,0.111112,0.222223,0,0.111112,0,0.111112,0.111112,0.111112,0.034556,-0.034556,-0.103667,-0.034556,-0.103667,0.034556,0.034556,0.103667,0.103667,0.103667,0.103667,-0.103667,-0.103667,-0.034556,0.103667,-0.103667,0.156309,0.199418,0.113031,0.161933,0.198926,0.170382,1
0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.454546,0.181819,0,0.363637,0.5,0.3,0.4,0.3,0.1,0.1,0.4,0.1,0.7,0.2,0.1,0,0.2,0.1,0.1,0.4,0,0.222223,0.222223,0.111112,0.111112,0.111112,0,0.111112,0.333334,0.111112,0,0,0.111112,0,0.111112,0.111112,0,0,0,0.111112,0,0,0.111112,0,0.333334,0,0.111112,0,0,0,0,0.111112,0.444445,0,0.222223,0.111112,0,0,0.111112,0,0.111112,0,0,0,0,0,0,0,0.111112,0.111112,0,0,0,0,0.111112,0,0,0.111112,0,0,0.111112,0.111112,0,0.222223,0.134699,-0.08082,-0.02694,0.242459,0.02694,-0.08082,-0.08082,-0.02694,0.02694,-0.08082,0.08082,-0.134699,0.08082,0.08082,-0.08082,-0.08082,0.138973,0.1776,0.159589,0.180742,0.169074,0.174022,1
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.181819,0.181819,0.181819,0.454546,0.1,0.4,0.2,0,0.2,0,0.2,0.4,0.5,0.3,0.7,0.1,0,0.1,0.4,0.4,0,0.111112,0,0,0,0,0,0.444445,0,0,0.222223,0,0,0,0,0,0,0.111112,0,0,0,0,0,0,0,0,0.222223,0,0,0,0.111112,0.333334,0.111112,0.222223,0.222223,0,0.222223,0,0.111112,0,0.555556,0,0.111112,0.111112,0,0,0,0.111112,0,0,0,0,0,0,0.111112,0,0,0.333334,0.111112,0,0,0.111112,0.333334,0,-0.063972,-0.021324,-0.106619,0.106619,0.063972,-0.106619,-0.063972,0.021324,-0.106619,0.063972,0.063972,-0.063972,-0.021324,-0.021324,0.063972,0.191915,0.118473,0.222904,0.197117,0.152729,0.147482,0.161295,1
0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0.272728,0.181819,0.454546,0.09091,0.1,0.3,0.3,0.3,0.2,0.2,0,0.5,0.5,0.1,0.1,0,0.2,0.4,0.2,0.6,0,0,0,0.111112,0.111112,0.222223,0,0,0.222223,0.111112,0,0,0,0.222223,0,0.111112,0,0.111112,0,0.111112,0,0,0,0.222223,0,0,0,0,0,0.222223,0,0.333334,0.111112,0.222223,0.222223,0,0,0,0,0.111112,0.111112,0,0,0,0,0,0,0,0,0,0.111112,0.111112,0.111112,0,0,0.222223,0.111112,0,0.111112,0,0.222223,0,0.222223,0.222223,-0.078668,-0.026223,-0.026223,0.131114,0.026223,-0.026223,0.078668,-0.078668,0.026223,0.131114,0.183559,-0.131114,0.026223,-0.131114,-0.026223,-0.078668,0.090433,0.158542,0.206438,0.211017,0.165055,0.168515,1
0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.363637,0.272728,0.272728,0.09091,0.6,0.4,0.2,0.1,0.2,0.3,0.3,0.3,0.3,0.2,0,0.1,0.3,0.1,0.1,0.5,0.111112,0.333334,0.111112,0.111112,0,0.111112,0.333334,0,0.111112,0,0,0.111112,0,0,0,0.111112,0.111112,0,0,0,0,0.111112,0,0.222223,0.111112,0.222223,0,0,0,0,0,0.333334,0.222223,0.111112,0,0,0.222223,0,0,0,0,0,0,0,0.111112,0,0,0,0.222223,0,0.111112,0,0,0.111112,0,0,0.111112,0,0,0,0.222223,0.111112,0.111112,0.111112,0.20976,-0.029966,0.029966,0.029966,0.089897,0.029966,-0.089897,-0.029966,-0.089897,0.029966,0.149829,-0.089897,-0.029966,0.029966,-0.089897,-0.149829,0.132264,0.202439,0.200307,0.144841,0.13902,0.18113,1
0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.181819,0.636364,0.181819,0,0.2,0.6,0.2,0.1,0.5,0.4,0.1,0.5,0.2,0.1,0,0.1,0.2,0.3,0.2,0.3,0,0.111112,0,0.111112,0.111112,0.333334,0.111112,0.111112,0.111112,0,0,0,0,0.111112,0,0,0.222223,0.333334,0,0,0,0.111112,0,0.333334,0,0,0,0.111112,0.111112,0.222223,0,0.222223,0,0.111112,0.111112,0,0.111112,0,0,0,0,0,0,0,0,0,0.111112,0,0,0.111112,0.111112,0,0.222223,0,0,0.111112,0.111112,0.111112,0,0,0.111112,0,0.111112,0.111112,-0.029583,0.147914,-0.029583,-0.029583,0.20708,0.088749,0.029583,-0.088749,-0.088749,0.147914,0.029583,-0.088749,-0.029583,-0.088749,-0.029583,-0.147914,0.120611,0.152983,0.216673,0.194791,0.157293,0.157649,1
0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.363637,0.363637,0.272728,0.4,0.1,0,0.6,0.2,0.4,0.3,0.1,0.3,0.1,0.1,0.1,0.2,0.5,0.2,0.4,0.111112,0.111112,0,0.222223,0,0,0,0.111112,0,0,0,0,0.222223,0.111112,0.222223,0.111112,0.111112,0,0,0.111112,0.222223,0,0.222223,0,0.111112,0,0.111112,0.111112,0,0.111112,0,0,0.222223,0,0,0.111112,0,0.111112,0,0,0,0.111112,0,0,0,0,0,0.111112,0,0,0,0.222223,0,0.333334,0.111112,0,0.222223,0,0,0,0,0.222223,0,0.222223,0.083001,-0.027667,-0.027667,0.027667,-0.083001,0.083001,0.138334,-0.083001,0.193668,-0.083001,0.083001,-0.083001,-0.138334,0.027667,-0.027667,-0.083001,0.142351,0.172072,0.174186,0.139313,0.169066,0.203013,1
0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0.09091,0.545455,0.181819,0.181819,0.1,0.2,0.3,0.2,0.2,0.4,0.5,0.4,0.3,0.6,0,0,0.2,0.3,0.1,0.2,0,0.111112,0,0,0,0,0.222223,0,0.111112,0.222223,0,0,0,0.111112,0,0.111112,0,0,0.111112,0.111112,0.111112,0,0.111112,0.222223,0.222223,0.333334,0,0,0.111112,0.111112,0.111112,0.111112,0.111112,0.111112,0,0.111112,0.111112,0.222223,0.222223,0,0,0,0,0,0,0,0,0,0,0,0.222223,0,0,0.222223,0,0.111112,0,0.111112,0,0,0.111112,0.111112,0,0,-0.118096,-0.039365,-0.039365,0.039365,-0.039365,0.118096,0.039365,0.275557,-0.039365,0.118096,-0.039365,-0.196826,0.039365,0.196826,-0.118096,-0.196826,0.172193,0.195447,0.137905,0.149874,0.192561,0.15202,1
0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0.09091,0.272728,0.454546,0.181819,0.1,0,0.4,0.1,0,0.4,0.2,0.5,0.1,0.3,0.2,0.3,0.5,0.4,0.1,0.4,0,0,0.111112,0,0,0,0,0,0.111112,0.222223,0.111112,0,0,0.111112,0,0,0,0,0,0,0,0.222223,0,0.222223,0,0.111112,0.111112,0,0.222223,0,0.111112,0.222223,0,0,0.111112,0,0,0.111112,0.111112,0.111112,0,0,0,0.222223,0.111112,0.111112,0,0.111112,0.111112,0,0.222223,0.111112,0,0.111112,0.111112,0.222223,0,0,0,0.111112,0.222223,0.111112,0,0.111112,-0.095377,-0.158962,0.158962,-0.095377,-0.158962,0.095377,0.095377,0.031792,-0.095377,0.158962,0.095377,0.031792,0.095377,-0.031792,-0.095377,-0.031792,0.159552,0.139952,0.169724,0.198084,0.149934,0.182754,1
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.636364,0.09091,0.181819,0.09091,0.7,0.3,0.2,0.3,0.1,0.1,0.2,0.4,0.4,0.2,0.2,0,0.3,0.2,0.2,0.2,0.222223,0.111112,0.222223,0.111112,0,0,0,0.333334,0,0.111112,0.111112,0,0.111112,0.111112,0,0.111112,0,0.111112,0,0,0,0,0.111112,0,0.222223,0,0,0,0.111112,0.111112,0.222223,0,0.111112,0.111112,0,0.222223,0,0,0.111112,0.111112,0.111112,0,0.111112,0,0,0,0,0,0.333334,0,0,0,0.111112,0.111112,0,0,0.111112,0.111112,0,0,0.111112,0,0,0.111112,0.234053,-0.078018,0.026006,0.078018,0.026006,-0.078018,-0.026006,-0.026006,0.026006,0.078018,-0.026006,-0.13003,-0.026006,-0.026006,-0.026006,-0.026006,0.140939,0.183812,0.152583,0.169443,0.177614,0.17561,1
