@relation ceshi

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 numeric
@attribute 49 numeric
@attribute 50 numeric
@attribute label {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.092649,0.272728,0,0,0.111112,1,0.277948,-0.092649,-0.092649,0,-0.092649,-0.092649,-0.092649,0,0,-0.092649,0.092649,0.272728,-0.092649,0,0.092649,-0.092649,0,0.277948,0.092649,-0.092649,-0.092649,0,0,0.1,0,0,0,0.111112,0,0,0.111112,0,0,0,0,0,0,0,0,0,0.2,0,0,1
0.2,0.080985,0.272728,0,0,0.111112,0,0.266094,-0.104124,-0.104124,0,-0.104124,-0.104124,-0.104124,0,0,-0.104124,0.080985,0.363637,-0.104124,0,0.266094,-0.104124,0,0.266094,0.080985,-0.104124,-0.104124,0,0,0.1,0,0,0,0.111112,0,0,0.111112,1,0,1,0,0,0,0,0,0,0.2,0,1,1
0.2,0.061056,0.272728,0,0,0.111112,0,0.223872,-0.10176,-0.10176,0,-0.10176,-0.10176,0.061056,0,0,-0.10176,0.061056,0.363637,-0.10176,0,0.223872,-0.10176,0.09091,0.223872,0.061056,-0.10176,-0.10176,0,0,0.1,0,0,0,0.111112,0,0,0.111112,1,1,0,0,0,0,0,0,0,0.2,0,1,1
0.1,0.068974,0.181819,0,0,0,1,0.068974,0.068974,-0.114957,0,-0.114957,-0.114957,0.252904,0,0,0.068974,-0.114957,0.363637,-0.114957,0,0.068974,0.068974,0.181819,0.068974,0.068974,-0.114957,-0.114957,0,0,0.1,0,0,0,0,0,0,0.111112,0,0,1,0,0,0,0,0,0,0.1,0,0,1
0,0.067626,0.181819,0,0,0,0,-0.11271,0.067626,-0.11271,0,0.067626,0.067626,0.247963,0,0,0.067626,-0.11271,0.181819,-0.11271,1,0.067626,0.067626,0.363637,0.067626,-0.11271,-0.11271,-0.11271,0,0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0,0,0,0.1,0,0,1
0.1,-0.099035,0.181819,1,0,0,0,0.059421,0.059421,0.059421,0,0.059421,0.059421,0.059421,0.1,0.1,0.059421,-0.099035,0.272728,0.059421,0,-0.099035,-0.099035,0.363637,-0.099035,0.059421,0.059421,-0.099035,0,0,0,0,0,0,0,1,0.1,0.111112,0,0,0,0,0,0.1,0,0,0,0,0,0,1
0.1,-0.110245,0.181819,0,0,0,0,0.066147,0.066147,0.066147,0,0.066147,0.066147,0.066147,0.1,0.1,-0.110245,-0.110245,0.272728,0.066147,1,-0.110245,0.066147,0.454546,-0.110245,0.066147,0.066147,-0.110245,0,0,0,0,0,0,0,0,0.1,0.111112,0,1,1,0,0,0.1,0,0,0,0,0,1,1
0.1,-0.118162,0.181819,0,0,0,0,0.070897,0.070897,0.070897,0,0.070897,0.070897,0.070897,0.1,0.1,-0.118162,-0.118162,0.272728,0.070897,0,-0.118162,0.070897,0.454546,-0.118162,0.070897,0.070897,-0.118162,0,0,0,0,0,0,0,1,0.1,0.111112,1,0,0,0,0,0.1,0,0,0,0,0,0,1
0,-0.113779,0.09091,0,0,0,0,-0.113779,0.250313,-0.113779,0,0.432359,0.068267,0.250313,0.1,0,-0.113779,-0.113779,0.181819,0.068267,1,-0.113779,0.068267,0.636364,-0.113779,-0.113779,-0.113779,-0.113779,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,1
0,-0.092353,0,0,0,0,0,-0.092353,0.498704,-0.092353,0,0.35094,-0.092353,0.35094,0,0,-0.092353,-0.092353,0.363637,-0.092353,1,-0.092353,-0.092353,0.636364,-0.092353,-0.092353,-0.092353,-0.092353,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,1
